Ticker,Test_Samples,HistMean_MSE_3M,HistMean_DirAcc_3M,HistMean_MSE_1Y,HistMean_DirAcc_1Y,MA_MSE_3M,MA_DirAcc_3M,MA_MSE_1Y,MA_DirAcc_1Y,LR_MSE_3M,LR_DirAcc_3M,LR_MSE_1Y,LR_DirAcc_1Y,RF_MSE_3M,RF_DirAcc_3M,RF_MSE_1Y,RF_DirAcc_1Y,SimpleLSTM_MSE_3M,SimpleLSTM_DirAcc_3M,SimpleLSTM_MSE_1Y,SimpleLSTM_DirAcc_1Y,Hybrid_MSE_3M,Hybrid_DirAcc_3M,Hybrid_MSE_1Y,Hybrid_DirAcc_1Y
RELIANCE,890,0.03324372004368979,59.43820224719101,0.06916537731274268,82.92134831460675,0.048960650943727826,45.95505617977528,0.11413727799716715,42.921348314606746,0.07527213672759138,41.79775280898876,0.7470459363641564,20.0,0.055931463427990394,43.70786516853933,0.08023468676890863,67.97752808988764,0.03983015567064285,53.5796766743649,0.06864301860332489,82.44803695150115,0.009309920482337475,80.71593533487298,0.009030099026858807,85.68129330254041
TCS,890,0.012305245282820494,61.23595505617978,0.06987863243694724,75.73033707865169,0.01891362934857892,51.91011235955057,0.10029745690669976,54.26966292134831,0.011762375330134254,61.12359550561798,0.13243456135823023,51.79775280898876,0.015953966013178673,51.348314606741575,0.10503679508304233,35.61797752808989,0.013728991150856018,53.92609699769053,0.09158792346715927,75.635103926097,0.005427544470876455,75.05773672055427,0.006726404651999474,94.80369515011547
HDFCBANK,890,0.017887123406580573,62.92134831460674,0.058603687319457295,70.11235955056179,0.028732648316716295,50.2247191011236,0.06695948369937824,51.348314606741575,0.022757702745893442,53.37078651685393,0.05521506335131474,63.258426966292134,0.015894775242426877,62.47191011235955,0.0914610549140361,41.46067415730337,0.01919924095273018,63.04849884526559,0.05839713290333748,72.05542725173211,0.002871051663532853,85.91224018475751,0.0031836775597184896,89.26096997690532
INFY,890,0.023920511103654743,65.28089887640449,0.1973783435400629,62.47191011235955,0.03705966982489829,53.59550561797752,0.25745355340569587,51.460674157303366,0.035745163592506304,43.37078651685393,0.437599128463724,41.91011235955056,0.028674136519484906,48.764044943820224,0.25351069463136905,52.13483146067416,0.024631239473819733,64.78060046189377,0.21521736681461334,61.54734411085451,0.00393714290112257,89.72286374133948,0.028134431689977646,95.03464203233256
ICICIBANK,890,0.03075971809605891,70.78651685393258,0.10608794056613394,84.26966292134831,0.051407918985146975,52.359550561797754,0.1680819031059036,56.17977528089888,0.08018082952013762,35.50561797752809,0.7170452406790188,21.235955056179776,0.03110680180529731,70.89887640449439,0.1656218004400434,39.8876404494382,0.03273840621113777,71.0161662817552,0.11246397346258163,86.60508083140877,0.007001515477895737,85.91224018475751,0.004656283650547266,98.96073903002309
HINDUNILVR,890,0.009665226971984955,59.55056179775281,0.036179199278994885,74.15730337078652,0.016799071717460735,41.12359550561798,0.028616105153122347,40.2247191011236,0.00992837149116272,68.76404494382022,0.06212801165492226,71.23595505617978,0.012927577539216703,42.58426966292135,0.017991939785490182,74.15730337078652,0.009641410782933235,58.429561200923786,0.015538990497589111,73.44110854503464,0.00260547804646194,82.90993071593533,0.004479295574128628,88.10623556581986
ITC,890,0.02015597185750185,64.38202247191012,0.10286596139812686,82.58426966292134,0.034238096121217754,51.68539325842697,0.19052555797541443,58.651685393258425,0.023163036099711144,48.20224719101124,0.2316836189548306,46.62921348314607,0.038040104798714856,47.41573033707866,0.21800228865105556,56.29213483146067,0.02093217708170414,66.16628175519631,0.18887947499752045,44.68822170900693,0.003808164270594716,88.56812933025404,0.014401455409824848,99.88452655889145
SBIN,890,0.05005827626942507,67.97752808988764,0.3082161867230221,81.01123595505618,0.07801530686197931,51.91011235955057,0.4348710008097002,60.22471910112359,0.08049827046155021,49.325842696629216,0.7991322626762115,38.764044943820224,0.08080112049179305,46.17977528089888,0.5010430451167646,37.19101123595506,0.0528143085539341,52.078521939953816,0.30658599734306335,83.25635103926096,0.005541938357055187,90.64665127020785,0.008056649006903172,98.15242494226328
BHARTIARTL,890,0.0240688739316649,63.93258426966292,0.03950583961125527,93.82022471910112,0.037752049500422984,50.2247191011236,0.08245422658937508,54.9438202247191,0.14489930144243987,36.17977528089887,1.904838322705642,6.292134831460674,0.09448712922086333,35.50561797752809,0.3672699078146796,6.179775280898876,0.027454590424895287,63.972286374133944,0.0429721400141716,93.64896073903002,0.0036289903800934553,86.14318706697459,0.008002826943993568,99.07621247113164
BAJFINANCE,890,0.08047083168702956,59.325842696629216,0.39977069924092895,70.2247191011236,0.11479266857940622,54.26966292134831,0.3504806007668981,49.8876404494382,0.15824422259601084,47.752808988764045,0.31923077106954095,63.033707865168545,0.07218958151994326,56.62921348314607,0.3842409327227061,37.07865168539326,0.07301785796880722,58.429561200923786,0.3059103488922119,72.17090069284065,0.040587469935417175,60.046189376443415,0.0686921700835228,57.159353348729795
KOTAKBANK,890,0.02709360380170081,53.37078651685393,0.1296700207351655,54.9438202247191,0.03620132084310866,47.30337078651685,0.05129454004084374,48.426966292134836,0.03747597621036356,49.10112359550562,0.18609983255063356,51.91011235955057,0.0273114583944666,52.58426966292134,0.027574307400472307,58.20224719101124,0.029025563970208168,52.19399538106235,0.031861476600170135,56.46651270207852,0.007943551987409592,72.74826789838336,0.006408914923667908,80.4849884526559
LT,890,0.032390943749406494,63.258426966292134,0.12895190467933915,86.29213483146067,0.04695200212891715,55.0561797752809,0.2743143529261664,61.46067415730337,0.06704339252006673,46.29213483146067,1.0096249325909756,26.40449438202247,0.04144718012407647,41.46067415730337,0.3839562461499797,33.59550561797753,0.033616743981838226,54.27251732101617,0.16317197680473328,88.68360277136259,0.005332401487976313,92.26327944572749,0.015262619592249393,97.34411085450347
HCLTECH,890,0.022786522974821363,66.51685393258427,0.10709990950540955,82.47191011235955,0.033604519733829885,55.842696629213485,0.18484813565789646,51.348314606741575,0.03857967907164683,45.056179775280896,0.4463082900488128,33.93258426966292,0.03718944865896167,43.258426966292134,0.22482043503804983,55.28089887640449,0.025680212303996086,68.85813148788927,0.20672713220119476,82.00692041522491,0.008588156662881374,76.35524798154556,0.012124741449952126,94.34832756632065
AXISBANK,890,0.039052246954928704,62.69662921348315,0.1308082816758534,69.7752808988764,0.06396243826803616,46.62921348314607,0.19935145110307306,54.157303370786515,0.036759659042916046,56.51685393258427,0.13968462249910102,53.82022471910113,0.030913590021942983,74.15730337078652,0.22958599380302233,61.68539325842697,0.043156545609235764,28.868360277136258,0.12638574838638306,71.70900692840647,0.008532064035534859,88.10623556581986,0.012941249646246433,91.22401847575058
ASIANPAINT,890,0.01808154879036961,59.55056179775281,0.08391199049399159,75.1685393258427,0.03135053331302522,48.31460674157304,0.1068555543576323,51.79775280898876,0.03886127792241034,50.112359550561806,0.2256323537561458,44.38202247191011,0.03420829505389511,49.43820224719101,0.0717228200455329,75.1685393258427,0.020663263276219368,30.94688221709007,0.08699071407318115,74.48036951501155,0.004016551189124584,91.10854503464203,0.003509748261421919,93.76443418013857
MARUTI,890,0.020788163757826775,61.79775280898876,0.0325668287850484,89.66292134831461,0.03451315678949844,49.325842696629216,0.03350847578893032,49.7752808988764,0.020555037607818797,61.23595505617978,0.026950801519395537,66.51685393258427,0.018191094770156166,60.0,0.07524707665969094,34.71910112359551,0.018886299803853035,60.969976905311775,0.012710509821772575,91.33949191685913,0.007878870703279972,83.94919168591224,0.003592532128095627,92.72517321016166
SUNPHARMA,890,0.010281552721897222,76.51685393258427,0.03819237175592863,100.0,0.02101185163790619,47.86516853932584,0.1402086240845713,56.74157303370787,0.014899260740573367,54.49438202247191,0.12145462584270388,55.61797752808989,0.027569166313996793,44.71910112359551,0.19321286744672092,25.056179775280903,0.013873016461730003,77.13625866050808,0.08894844353199005,100.0,0.002943336497992277,86.48960739030022,0.009940745308995247,100.0
TITAN,890,0.02845731132157102,65.50561797752809,0.10120153312488642,88.53932584269663,0.04837919074713197,52.13483146067416,0.16814103651103052,54.71910112359551,0.046256141275413165,47.97752808988764,0.7352763669466226,26.741573033707866,0.048541474752468936,47.52808988764045,0.29479092847105104,45.50561797752809,0.03207320347428322,66.16628175519631,0.09979687631130219,90.99307159353349,0.011496334336698055,86.02771362586606,0.015447177924215794,93.64896073903002
ULTRACEMCO,890,0.019923511260572683,66.40449438202248,0.12572157641191944,68.65168539325842,0.030507350466608272,57.528089887640455,0.19988072841662727,52.58426966292134,0.03867769485553286,44.157303370786515,0.34538555698976897,46.17977528089888,0.04249570521161709,46.96629213483146,0.23953397804935095,45.50561797752809,0.020269526168704033,68.24480369515011,0.1580876260995865,70.55427251732101,0.003972915932536125,90.06928406466513,0.024112531915307045,92.95612009237875
BAJAJFINSV,890,0.07441225814726948,59.325842696629216,0.4054956194949795,55.50561797752809,0.13138709680328012,54.382022471910105,0.633307104117756,45.84269662921348,0.08487124079621365,58.98876404494382,0.4237229023207896,56.17977528089888,0.16647718230024855,49.325842696629216,1.008451336185578,51.348314606741575,0.07414785772562027,59.58429561200924,0.6004712581634521,42.956120092378754,0.012025687843561172,93.41801385681293,0.041135646402835846,87.87528868360278
WIPRO,890,0.038848514041356884,50.0,0.4015659054893292,60.561797752808985,0.05243566917629282,63.370786516853926,0.507183011599651,52.359550561797754,0.06482137569631381,59.21348314606741,0.944977310498066,48.08988764044943,0.06388623260190159,33.59550561797753,0.5362980195563787,59.88764044943821,0.04197243973612785,54.618937644341806,0.4561915099620819,61.43187066974596,0.005351238884031773,90.76212471131639,0.016431381925940514,94.22632794457274
