Ticker,Test_Samples,MSE_3M,RMSE_3M,MAE_3M,R2_3M,DirAcc_3M,MSE_1Y,RMSE_1Y,MAE_1Y,R2_1Y,DirAcc_1Y,MSE_3Y,RMSE_3Y,MAE_3Y,R2_3Y,DirAcc_3Y
RELIANCE,866,0.00930992019965533,0.09648792774049679,0.07274771880340444,0.7266469414184817,80.71593533487298,0.009030098708331533,0.09502683151790095,0.07453334257012022,0.8560173034057781,85.68129330254041,0.005621138620142287,0.07497425304824508,0.05890727615710907,0.9396966736510307,100.0
TCS,866,0.0054275448514288374,0.07367187286494647,0.05698974812681589,0.5456736338829243,75.05773672055427,0.006726405116642318,0.08201466403419767,0.06911248240613042,0.8955874309967197,94.80369515011547,0.004906351809707646,0.07004535537569673,0.05329092647614147,0.9264256166300958,97.92147806004618
HDFCBANK,866,0.0028710517852353293,0.05358219653238685,0.041960866069776066,0.8342703389966675,85.91224018475751,0.0031836777247194565,0.0564240881602836,0.04350310919128034,0.9209123586694348,89.26096997690532,0.007222403888215816,0.08498472738213506,0.062331217184649915,0.8460763457976656,98.03695150115473
INFY,866,0.00393714291717265,0.06274665662146987,0.04943188843959732,0.8361351804334578,89.72286374133948,0.028134433259520118,0.16773322050065131,0.13311626338133944,0.8492926750296991,95.03464203233256,0.01895946970489514,0.13769339020045637,0.09116039926096943,0.9059908947803621,96.99769053117782
ICICIBANK,866,0.007001515682268041,0.0836750600971881,0.06300834289569258,0.7759720496703045,85.91224018475751,0.004656283414698549,0.06823696516330828,0.051151807773839486,0.9525441361466895,98.96073903002309,0.01659476443945634,0.12882066774961362,0.09882937151482694,0.8881577061305979,100.0
HINDUNILVR,866,0.0026054780852513646,0.05104388391620846,0.03934496409047608,0.7041848603137202,82.90993071593533,0.004479295639575408,0.06692754021757716,0.05294435208333456,0.6288309910723353,88.10623556581986,0.003952469797500603,0.06286867103335812,0.053884078964080734,0.8121468943153205,81.2933025404157
ITC,866,0.0038081639634075033,0.06171032298900649,0.0498701482634173,0.8105572081478235,88.56812933025404,0.014401454648764411,0.12000606088345876,0.09944928495006906,0.8271962021844215,99.88452655889145,0.024551949903861916,0.1566906184296364,0.13015528691730377,0.9152384962041775,100.0
SBIN,866,0.00554193887666138,0.07444419975163533,0.05413266905704528,0.8855130239457802,90.64665127020785,0.008056649433884044,0.08975884042189963,0.06865687530789434,0.969881012920451,98.15242494226328,0.05784298042026053,0.24050567648240764,0.1840018179895696,0.823507187997906,100.0
BHARTIARTL,866,0.0036289901243124678,0.06024109995935058,0.045963270718525656,0.8447731686490101,86.14318706697459,0.008002827419188134,0.0894585234574556,0.06835088336019719,0.7189081038038654,99.07621247113164,0.060655043784737045,0.24628244717140735,0.21874043080465347,0.6535045703923776,100.0
BAJFINANCE,866,0.040587473165692646,0.20146332958057814,0.15987361834381678,0.397918946806725,60.046189376443415,0.0686921735168785,0.26209191806860144,0.21479366984099624,0.7123863972348821,57.159353348729795,0.05505169097358888,0.23463096763553798,0.19391810519883718,0.8258804195555075,93.76443418013857
