Model,MSE_3M,DirAcc_3M,MSE_1Y,DirAcc_1Y
Historical Mean,0.03719697815077503,60.78886285153277,0.36380130386239645,74.88482735038298
Moving Average,0.054619219601347045,50.96508334725526,0.39605555491139643,52.49358379937674
Linear Regression,0.6932385292165273,49.18278294290101,14.086883832163988,46.79311960205493
Random Forest,0.05996815248603271,48.01362789483609,0.47843919659883144,49.291210817145085
Simple LSTM,0.039414033151174685,57.22074362079578,0.4227533003847514,73.26924381153925
HybridForecaster,0.009230609422511592,84.9878634916229,0.022218996630411367,92.12142296169392
